"Date","Price","Open","High","Low","Vol.","Change %"
"06/07/2024","141,400.0","145,000.0","145,000.0","140,500.0","3.36M","1.29%"
"06/06/2024","139,600.0","140,300.0","141,700.0","138,800.0","5.21M","-0.36%"
"06/05/2024","140,100.0","140,000.0","144,900.0","139,700.0","6.32M","0.72%"
"06/04/2024","139,100.0","139,000.0","139,300.0","137,800.0","7.01M","1.61%"
"06/03/2024","136,900.0","135,000.0","137,600.0","134,700.0","7.77M","1.71%"
"05/31/2024","134,600.0","135,000.0","136,800.0","133,800.0","2.63M","-0.30%"
"05/30/2024","135,000.0","133,800.0","135,000.0","131,900.0","7.26M","-0.52%"
"05/29/2024","135,700.0","137,100.0","138,200.0","134,800.0","5.84M","-0.95%"
"05/28/2024","137,000.0","134,000.0","137,000.0","133,100.0","4.63M","3.16%"
"05/27/2024","132,800.0","133,000.0","133,500.0","130,600.0","5.16M","0.68%"
"05/24/2024","131,900.0","138,000.0","138,000.0","130,600.0","13.38M","-4.07%"
"05/23/2024","137,500.0","137,500.0","137,800.0","135,000.0","3.62M","-0.36%"
"05/22/2024","138,000.0","137,900.0","139,700.0","136,100.0","4.51M","1.47%"
"05/21/2024","136,000.0","134,000.0","136,000.0","133,500.0","3.47M","2.26%"
"05/20/2024","133,000.0","135,200.0","136,100.0","133,000.0","2.01M","-1.12%"
"05/17/2024","134,500.0","135,400.0","136,000.0","133,700.0","2.31M","-0.66%"
"05/16/2024","135,400.0","135,600.0","137,300.0","134,200.0","3.12M","0.97%"
"05/15/2024","134,100.0","131,500.0","134,500.0","131,300.0","3.65M","2.76%"
"05/14/2024","130,500.0","130,000.0","131,700.0","129,600.0","2.30M","0.62%"
"05/13/2024","129,700.0","131,300.0","131,500.0","128,800.0","1.85M","-0.99%"
"05/10/2024","131,000.0","131,300.0","132,200.0","129,200.0","3.79M","0.54%"
"05/09/2024","130,300.0","130,600.0","132,800.0","130,000.0","2.20M","-0.53%"
"05/08/2024","131,000.0","130,100.0","131,000.0","129,300.0","3.02M","-0.23%"
"05/07/2024","131,300.0","128,000.0","131,600.0","127,200.0","3.12M","2.90%"